id,datetime,username,content,replies,retweets,likes
1608870670552928257,2022-12-30T17:00:33.000Z,edwinBtorresc,Y entonces sucedió...(los años maravillosos).....en elecciones prometían ser potencia mundial de la vida....y en el poder les vale mierda la población vulnerable en condiciones precarias alimentarias ...dizque para fabricarla en Colombia ...maldito cacas!,0,0,0
1608866658202058759,2022-12-30T16:44:37.000Z,willj84753699,"¡ATENCIÓN COLOMBIA!
Amigos les deseo un Feliz y próspero año 2023.
Se vienen las elecciones locales; 
#MiPropositoEs que el progresismo se imponga en todas las regiones de Colombia.
¡El Cambio continúa!
Les dejo la recomendación del flamante pensador Gilberto Tobón Sanín.",0,0,0
1608854277040271361,2022-12-30T15:55:25.000Z,SalvadorCerin10,"Ganas de desgastarse, tú te quemarás solita en las elecciones de 2026.

FUERA SUCURSAL DE VOX EN COLOMBIA!!",0,0,0
1608841959770296325,2022-12-30T15:06:28.000Z,OJOVENE,"Más garantía para la oposición; 

5. Permitir a uribistas en Colombia votar en Venezuela 

6. Que EEUU, con organismos de EEUU supervisen las elecciones y que el ejército de EEUU haga la custodia de los votos y plan republica. 

7.  Que se permita el voto de los muertos",0,0,0
1608841829025460225,2022-12-30T15:05:57.000Z,CocaColaLara,"Gracias a Dios se despide 
@AlvaroUribeVel
 de la vida pública en #Colombia ante su MUERTE Política en las últimas elecciones.

Tal vez pretenda manifestar su apoyo a algún político de esos que suele acompañar con prontuario en entes judiciales para postularlo en próximas. PERDIÓ!",0,0,0
1608837120445284352,2022-12-30T14:47:14.000Z,JuanCamilo,"Colombia tiene 1 millón 351 mil servidores públicos, y de esos 910 mil son contratistas. Multipliquen esos 910 mil por cuatro al menos de cada una de sus familias y entenderán cual es el afán de Petro de pasarlos a una planta temporal de cara a las elecciones locales de 2023…",0,0,0
1608834100135362563,2022-12-30T14:35:14.000Z,FYKO1802,Dios nos bendiga siempre vamos con toda para el 2023 y comenzamos elecciones  #ProgresistaSigueProgresista #PactoHistorico #Colombia,0,0,0
1608829636481536003,2022-12-30T14:17:30.000Z,hablaciudadana,"2022 fue un año... movido. Empezamos tranquilamente con la primera guerra en territorio europeo del siglo, elecciones en Brasil y Colombia, y la valentía de las mujeres iraníes revelándose contra el régimen. 2022 fue un año movido. Y en Ciudadana nos movimos con él.",0,0,0
1608808128933662723,2022-12-30T12:52:02.000Z,UCincluyente,"Termino el gobierno del 
@MelloCastroG
 y eso fue capaz de solucionar...fueron 4 años en un abandono total de Valledupar, ojalá podamos entre todos reconstruir una de las ciudades más hermosas del Colombia...pero eso lo debemos hacer en elecciones!!!",0,0,0
1608804104171847681,2022-12-30T12:36:03.000Z,Josmari311365,Cuando duque ganó las elecciones en 2018 el dólar estaba a 2893 pesos. Cuando dejo de ser presidente estaba alrededor de 4300 pesos. Lo devaluó en 1400 pesos. Un 50% del valor que lo recibió. Son datos qué hay dar. Duque es el peor presidente en la historia de colombia.,0,0,0
1608800619162370050,2022-12-30T12:22:12.000Z,MarioSa91478525,"En  7 elecciones presidenciales nunca viví un festejo de los nadies como lo viví ese día , magnífico vamos por una mejor colombia",0,0,0
1608799466655731715,2022-12-30T12:17:37.000Z,luismanrique76,"Y tanto que ud apoyo la llegada de ese gobierno comunista. Pida perdon y apoye la oposición en las próximas elecciones. 
@petrogustavo
 el cancer de colombia.",0,0,0
1608795510487527425,2022-12-30T12:01:54.000Z,endisputacom,"A la segunda vuelta de las elecciones presidenciales en Colombia llegaron Gustavo Petro y Rodolfo Hernández sin tener ninguno un favoritismo claro.

Petro fue elegido y se convirtió en el primer presidente de izquierdas de este país.",0,0,0
1608784163083284481,2022-12-30T11:16:48.000Z,Aurelio212,"@MariaFdaCabal
 no solo a Colombia,  también Chile, Argentina, Brasil, Perú. Increíble como se manejan para lograr triunfar en las elecciones",0,0,0
1608759387681861635,2022-12-30T09:38:21.000Z,Exbrigadier,"No me sorprende que esto sea promocionado por el centro demoniatico, si el perro genocida, volteador de tierras, corrupto y narcotraficante de Uribe Vélez asesina campesinos y jóvenes por toda Colombia, pa ellos esto es un juego más. se vienen elecciones PACTO HISTÓRICO",0,0,0
1608722051438870530,2022-12-30T07:10:00.000Z,atomy_colombia,Y próximas elecciones con lista cerrada vuelven y remontan su candidato.. Colombia se jodio en pocas palabras.,0,0,0
1608660496751759360,2022-12-30T03:05:24.000Z,infoarenales,"Las elecciones que fueron claves durante el 2022 - #australia #Brasil #calendarioelectoralinternacional #CHILE #Colombia #CoreadelSur #CostaRica #EstadosUnidos #FRANCIA #Hungría #Israel #ITALIA #JCM #Suecia - 
https://
tinyurl.com/2hcwg324",0,0,0
1608658790261612546,2022-12-30T02:58:37.000Z,milous3646,En COLOMBIA el día de los INOCENTES es el de las elecciones.  El 28 de diciembre es el de los SANTOS INOCENTES.,0,0,0
1608657475527675905,2022-12-30T02:53:24.000Z,clempinp,"La que vuela sin radar es: una ciudadana colombo francesa, más francesa que colombiana y que viene al país en elecciones a ver dónde recoge dinero, Colombia le importa un bledo.",0,0,0
1608624286910283778,2022-12-30T00:41:31.000Z,leomendozagp0,Por algo se empieza y ps para que los proyectos se aprueben deben de estar de acuerdo mayorías pero así Colombia se da cuenta cuáles los hacen por un puesto y quien por un cambio ahora en elecciones verá como los partidos políticos tradicionales disminuirá mucho mad,0,0,0
